name,state,wdId,idIBGE,lexLabel,creation,extinction,postalCode_ranges,notes
Água Nova,RN,Q1786703,2400406,agua.nova,,,[59995-000 59999-999],
Água Preta,PE,Q1804038,2600401,agua.preta,,,[55550-000 55554-999],
Água Santa,RS,Q249795,4300059,agua.santa,,,[99965-000 99969-999],
Águas Belas,PE,Q2013722,2600500,aguas.belas,,,[55340-000 55344-999],
Águas de Chapecó,SC,Q1750761,4200507,aguas.chapeco,,,[89883-000 89884-999],
Águas Formosas,MG,Q1756605,3100906,aguas.formosas,,,[39880-000 39884-999],
Águas Frias,SC,Q1796824,4200556,aguas.frias,,,[89843-000 89844-999],
Águas Lindas de Goiás,GO,Q249830,5200258,aguas.lindas.goias,,,[72910-001 72929-999],
Águas de Lindóia,SP,Q249869,3500501,aguas.lindoia,,,[13940-000 13949-999],
Águas Mornas,SC,Q249844,4200606,aguas.mornas,,,[88150-000 88159-999],
Águas da Prata,SP,Q1647805,3500402,aguas.prata,,,[13890-000 13899-999],
Águas de Santa Bárbara,SP,Q22066,3500550,aguas.santa.barbara,,,[18770-000 18774-999],
Águas de São Pedro,SP,Q249900,3500600,aguas.sao.pedro,,,[13525-000 13529-999],
Águas Vermelhas,MG,Q1756246,3101003,aguas.vermelhas,,,[39990-000 39994-999],
Agudo,RS,Q398173,4300109,agudo,,,[96540-000 96544-999],
Agudos,SP,Q1750166,3500709,agudos,,,[17120-000 17149-999],
Agudos do Sul,PR,Q398170,4100301,agudos.sul,,,[83850-000 83859-999],
Águia Branca,ES,Q1982827,3200136,aguia.branca,,,[29795-000 29799-999],
Aguiar,PB,Q1998462,2500205,aguiar,,,[58778-000 58779-999],
Aguiarnópolis,TO,Q1802133,1700301,aguiarnopolis,,,[77908-000 77909-999],
Aimorés,MG,Q1650790,3101102,aimores,,,[35200-000 35219-999],
Aiquara,BA,Q560381,2900603,aiquara,,,[45220-000 45224-999],
Aiuaba,CE,Q641440,2300408,aiuaba,,,[63575-000 63579-999],
Aiuruoca,MG,Q1749739,3101201,aiuruoca,,,[37450-000 37451-999],
Ajuricaba,RS,Q413408,4300208,ajuricaba,,,[98750-000 98757-999],
Alagoa,MG,Q678420,3101300,alagoa,,,[37458-000 37459-999],
Alagoa Grande,PB,Q1998976,2500304,alagoa.grande,,,[58388-000 58389-999],
Alagoa Nova,PB,Q1816238,2500403,alagoa.nova,,,[58125-000 58127-999],
Alagoinha,PB,Q2065239,2500502,alagoinha,,,[58390-000 58392-999],
Alagoinha,PE,Q938278,2600609,alagoinha,,,[55260-000 55269-999],
Alagoinha do Piauí,PI,Q2064226,2200251,alagoinha.piaui,,,[64655-000 64659-999],
Alagoinhas,BA,Q818261,2900702,alagoinhas,,,[48000-001 48107-999],
Alambari,SP,Q513601,3500758,alambari,,,[18220-000 18224-999],
Albertina,MG,Q986243,3101409,albertina,,,[37596-000 37599-999],
