sigla,municipio_sp
TRX,Terra Roxa
TIT,Tietê
TMB,Timburi
TOP,Torre de Pedra
TRR,Torrinha
TBJ,Trabiju
TMM,Tremembé
TFR,Três Fronteiras
TUI,Tuiuti
TUP,Tupã
TPA,Tupi Paulista
TUB,Turiúba
TUR,Turmalina
UBR,Ubarana
UBT,Ubatuba
UJR,Ubirajara
UCH,Uchoa
UNP,União Paulista
URN,Urânia
URU,Uru
URP,Urupês
VLG,Valentim Gentil
VLH,Valinhos
VPS,Valparaíso
VAR,Vargem
VGS,Vargem Grande do Sul
VGP,Vargem Grande Paulista
VZP,Várzea Paulista
VCR,Vera Cruz
VNH,Vinhedo
VRD,Viradouro
VAT,Vista Alegre do Alto
VTB,Vitória Brasil
VOT,Votorantim
VTG,Votuporanga
ZAC,Zacarias
